,Corriente L1,Corriente L2,Corriente L3,Flujo Descarga,T° Desc Bba. LL,T° Desc Bba. LA,T° Desc Mot. LL,T° Desc Mot. LL.1,Prox. Bba. LLX,Prox. Bba. LLY,Prox. Bba. LAX,Prox. Bba. LAY,Prox. Mot. LAX,Prox. Mot. LAY,Prox. Mot LLX,Prox. Mot. LLY
2018-11-13 15:17:24.999964800,275.38930000002034,278.3,275.37,981.5851825337672,51.01999211936373,58.04140211652201,70.0,74.0,25.312499998768903,10.194999997537815,37.15635416669191,19.144166666561887,15.24427469103708,9.170000000000002,28.941558639820407,9.09
2018-11-13 15:17:34.999987200,275.3900000003608,283.31,281.17,980.98526600356,51.029842400123584,58.07447091544061,70.0,74.0,25.317500001545408,10.205000003090827,37.15739583385652,19.145833334066747,15.108109415125767,9.171728534742153,28.05069530871707,9.097778406339687
2018-11-13 15:17:45.000009600,275.3907000001293,278.25,276.15,989.0678252525939,51.039692672833446,58.107539687334224,70.0,74.0,25.322500000235735,10.215000000471482,37.158437500169846,19.147500000209547,14.770532358185216,9.480370415373518,29.960416945123637,10.486666869180825
2018-11-13 15:57:14.999961600,271.85,278.25,276.15,968.303338303644,51.08729877478432,58.15,70.0,74.0,25.18000009083887,9.964999999109423,37.39607142843485,18.93,15.113564871071553,9.271018534591873,28.967522951249567,9.183564871071551
2018-11-13 15:57:35.000006400,266.49000252714364,267.86,265.27,898.3819862114609,51.08912146375354,58.15,70.01311752114908,74.0,24.500000090838867,9.971666665776088,37.396547618943465,18.93,15.339344123942544,9.574621816328877,27.38416692284101,9.57239183773353
2018-11-13 15:57:45.000028800,261.13,267.86,265.27,863.7787460432432,51.092430575539176,58.15,70.96527749229749,74.0,24.159999930534983,9.975000000681028,37.396785714310035,18.93,15.517638951694552,9.413889003081007,27.702572568899285,9.071527954775556
2018-11-13 15:57:54.999964800,261.13,261.87,259.82,850.4106945883971,51.15994598692728,58.15,70.00077161532448,74.0,23.820000069465017,9.978333332652305,37.39702380946706,18.93,15.729830244628616,9.799691353870209,28.039730270125624,9.669521598498823
2018-11-13 15:58:25.000032000,256.08142857559807,261.87,260.08,806.8908395460918,51.04802270743436,58.15,71.0,74.0,23.68333332970117,9.50083338554561,37.39773809513269,18.93,15.827608004620716,10.06880400231036,31.81249205313826,10.622152795841352
2018-11-13 15:58:34.999968000,256.1171428779907,256.25,255.05,802.9536554894823,51.010686966577936,58.1567497250667,70.02392001297545,74.0,23.696666670298825,9.309166614454393,37.39797619048431,18.93,15.4805248057092,10.071913601038036,32.37861837755246,10.64493039182546
2018-11-13 15:58:44.999990400,256.15285715119626,261.73,260.19,824.4717803000423,50.973351256233585,58.16367109596831,70.98842583146761,74.0,23.71,9.1175,37.39821428564132,18.93,15.904907365845746,10.149074066517407,30.71002331156104,10.037291726175408
2018-11-13 15:59:14.999971200,256.26,260.3,254.85,800.1219807908899,50.86134409468847,58.184435214329525,70.0,74.0,23.737499998978457,8.722500014642137,37.39892857130696,18.685000033370446,15.90548608188096,10.32548608188096,32.08534706258063,10.506735960463415
2018-11-13 15:59:24.999993600,250.89,254.18,254.85,782.7178719200301,50.90196761907742,58.19135659088753,70.0,74.0,23.742500001021547,8.650833318691198,37.39916666665856,18.521666633296217,15.997114158686456,10.51514653960904,31.757608127099346,10.573965968162591
2018-11-13 15:59:35.000016000,250.89,254.18,249.07000236181057,765.3137772724197,51.04664350062337,58.19827796178914,70.0,74.0,23.74749999897845,8.579166681308802,37.39940476181557,18.358333366703786,15.784922865752394,10.158279365129024,32.317021535743685,10.130293264755004
2018-11-13 15:59:54.999974400,228.91,233.6,232.59,631.9140998534198,52.18227627113249,58.21212070924874,70.0,74.0,23.757499998978457,8.43583334797547,37.3998809523242,18.031666700037118,15.964513867519976,10.154112634851533,33.214753158599194,11.007862711779625
2018-11-13 16:00:04.999996800,223.41,228.07,227.49,587.8365811505157,52.81504479100269,58.21904208015035,70.0,74.0,23.677500089031536,8.296666778180912,37.39166667565975,17.948888890146172,16.490925992959056,10.28445648453753,31.66273954666175,11.92512334506824
2018-11-13 16:00:15.000019200,223.47000002451708,228.07,227.49,589.9880970782483,53.44665885034797,58.22596345670834,70.00231502773201,74.0,23.51249999740685,8.089999996752013,37.37499999973807,17.946666666806365,16.261180664143325,10.41969904639484,30.46775534290223,12.311990923849528
2018-11-13 16:00:24.999955200,223.53,222.94,221.61,568.3638766276543,54.078272393516045,58.23288482760996,70.96682084622415,74.0,23.34750004062604,7.883333384218473,37.358333337436974,17.944444445282635,16.75307863157432,10.294313289990859,33.698849834850925,13.141465927752774
2018-11-13 16:09:55.000022400,218.44,222.94,221.61,551.3124995934559,55.62910363700662,58.31840782772392,70.9729941912391,74.0,20.75416660911093,4.797500005029142,38.32916667281339,16.12687501016633,16.400007850758463,10.590277908846073,31.70756947721152,12.657839535299127
2018-11-13 16:10:05.000044800,225.84,228.76,226.97,572.8306446468292,55.597090223020174,58.31998611142057,70.00848746540433,74.0,20.76749997037521,4.8608333622770905,38.40333336738481,16.11,16.043140362199605,10.24305548754556,31.620763871886393,12.580678997232347
2018-11-13 16:10:35.000025599,225.84,228.76,226.97,602.9728219314701,55.5010500394233,58.32,70.96836419612733,74.0,20.332500029624786,5.285833304389576,38.903333299281854,16.11,15.83,10.241581790193631,31.030648145958622,11.551265432154908
