Tiempo,Corriente,T° Retorno,T° socket Linner,T° Excéntrica,T° Alimentación,T° Desc. C. Eje,Salto Anillo A,Salto Anillo B,Salto Anillo C,Salto Anillo D,Nivel Taza,Setting,Pesómetro
2017-07-01 08:00:00,65.61479187011719,39.35148620605469,36.12993240356445,55.47822570800781,33.91414260864258,34.7747688293457,7.526171684265137,10.17617225646973,6.538281440734863,14.61250019073486,40.79876327514648,28.60000610351562,2300.636962890625
2017-07-01 08:10:00,52.56161117553711,39.65994262695312,35.90882873535156,55.13719177246094,34.44937896728516,34.56957244873047,6.293749809265137,8.341796875,5.827734470367432,12.46445274353027,38.9744873046875,28.60000610351562,1199.51318359375
2017-07-01 08:20:00,65.6444320678711,42.05322647094727,38.99593353271484,57.19999694824219,37.9489860534668,35.90965270996094,7.358984470367432,9.116015434265137,6.432421684265137,13.15234375,40.58485412597656,28.50000381469727,2355.122314453125
2017-07-01 08:30:00,76.35997009277344,43.55168151855469,40.60483932495117,58.71723937988281,39.60847854614258,37.16074371337891,7.533984184265137,9.640233993530272,6.810156345367432,13.81328105926514,41.30809783935547,28.50000381469727,2287.493408203125
2017-07-01 08:40:00,70.83135223388672,44.74101638793945,41.48325347900391,59.24663162231445,40.81242370605469,38.19668197631836,8.085156440734863,10.03007793426514,7.0859375,14.14492225646973,42.29592514038086,28.50000381469727,2334.136962890625
2017-07-01 08:50:00,72.87020111083984,43.14859771728516,39.84215927124023,57.78451538085938,37.54855728149414,38.02468872070312,7.380468845367432,9.533594131469728,6.479687690734863,13.43085956573486,40.72127532958984,28.50000381469727,2344.93505859375
2017-07-01 09:00:00,73.81905364990234,41.83308792114258,38.63166427612305,57.2863655090332,36.21047210693359,37.19527435302734,7.453125,9.638280868530272,6.5625,13.61835956573486,41.66635513305664,28.50000381469727,2320.17529296875
2017-07-01 09:10:00,79.66036224365234,40.81375122070312,37.57426834106445,56.80447387695312,35.46539306640625,36.57172012329102,7.0625,8.983983993530273,6.515234470367432,13.53125,38.6177978515625,27.00000762939453,2260.01318359375
2017-07-01 09:20:00,81.29011535644531,40.53152465820312,37.50821685791016,57.46855163574219,35.17254257202148,35.97937774658203,7.344922065734863,9.021875381469728,6.621874809265137,13.017578125,40.91031265258789,27.00000762939453,2313.169189453125
2017-07-01 09:30:00,86.36920928955078,40.42992401123047,37.56097793579102,57.80395126342773,35.30568695068359,35.89636993408203,7.686327934265137,9.631250381469728,7.040625095367432,13.60898399353027,42.25675201416016,27.00000762939453,2334.9736328125
